	Värdeutveckling i SEK (%)							Fondavgift (%)			Sharpe-	Noterings-		Svensk/				
Pictet Water	-2	-2	4	-5	43	66	10,7	0,8	2,71	11,6	1,1	EUR	2000	Utländsk	189258	Pictet Funds (Europe) S.A.	Övriga branscher	Fonden tar miljö och/eller etisk hänsyn
Seligson & Co Finland - Indexfond	-1	-1	9	-5	68	39	6,8	0,25	0,45	15,8	1,2	EUR	2005	Utländsk	133298	Seligson & Co Fondbolag Abp	Övriga länder	Fonden tar miljö och/eller etisk hänsyn
BL - Equities Horizon	0	0	4	-4	39	63	10,2	0,56	1,56	10,6	1,1	EUR	2006	Utländsk	985895	Banque de Luxembourg S.A.	Utländska aktier och räntor	Fonden tar miljö och/eller etisk hänsyn
BL - Global 30	2	2	-1	-3	17	18	3,4	0,48	1,23	5,1	1	EUR	2000	Utländsk	480145	Banque de Luxembourg S.A.	Utländska aktier och räntor	
BL - Global 50	1	1	0	-4	25	31	5,5	0,48	1,24	6	1,2	EUR	2000	Utländsk	444315	Banque de Luxembourg S.A.	Utländska aktier och räntor	
BL - Global 75	0	0	1	-6	34	48	8,1	0,48	1,23	7,9	1,2	EUR	2000	Utländsk	408484	Banque de Luxembourg S.A.	Utländska aktier och räntor	
BL - Global Flexible EUR	1	1	2	-8	24	25	4,6	0,47	1,21	8,6	0,9	EUR	2006	Utländsk	647669	Banque de Luxembourg S.A.	Utländska aktier och räntor	
BL Fund Selection - 50-100	-5	-5	-2	-7	30	33	5,8	0,56	3,23	8,5	1	EUR	2008	Utländsk	323899	Banque de Luxembourg S.A.	Utländska aktier och räntor	
Cicero World Wide	-6	-6	-6	-16	9	12	2,2	0,59	3,5	8,7	0,3	SEK	2005	Svensk	855973	Cicero Fonder AB	Utländska aktier och räntor	
SKAGEN Krona	0	0	0	0	3	10	1,9	0,12	0,2	0,3	5	SEK	2007	Utländsk	870493	SKAGEN Fonder	Sverige kort	
Carnegie Likviditetsfond	0	0	0	0	3	9	1,8	0,13	0,3	0,4	2,2	SEK	2000	Svensk	214163	Carnegie Fonder AB	Sverige kort	
Carnegie Obligationsfond	1	1	1	0	9	24	4,4	0,15	0,4	2,5	1,1	SEK	2000	Svensk	178335	Carnegie Fonder AB	Sverige lång	
Axa Rosenberg Us Small Cap Alpha Fund B	-2	-2	-2	-16	53	89	13,6	0,66	1,61	15,9	1	USD	2015	Utländsk	388702	AXA Rosenberg Management Ireland Ltd	Nordamerika och USA småbolag	
Handelsbanken Europafond Index	-7	-7	-4	-15	33	40	6,9	0,19	0,4	13,3	0,8	SEK	2000	Svensk	629543	Xact Kapitalförvaltning AB	Europa/Euroland Index	
Handelsbanken Sverige OMXSB Index	-4	-4	0	-13	33			0,19	0,4	13,5	0,7	SEK	2012	Svensk	465914	Xact Kapitalförvaltning AB	Sverige index	
Handelsbanken Sverige Index Criteria	-4	-4	2	-10	40	50	8,5	0,23	0,65	13,6	0,9	SEK	2013	Svensk	893396	Xact Kapitalförvaltning AB	Sverige index	Fonden tar miljö och/eller etisk hänsyn
Handelsbanken MSCI USA Index	-4	-4	4	-7	68			0,19	0,4	13,2	1,4	SEK	2013	Svensk	929224	Xact Kapitalförvaltning AB	Nordamerika och USA	
Pareto Global Corporate Bond	1	1	0	0				0,42	1,34			SEK	2015	Utländsk	606103	SEB Fund Services S.A.	Övriga utländska	Fonden tar miljö och/eller etisk hänsyn
Fidelity Funds - Asian Special Situations Fund	-2	-2	2	-14	35			0,89	2,69	13,9	0,8	EUR	2012	Utländsk	795054	FIL Investment Management (Luxembourg) S.A.	Asien och Fjärran östern	
Fidelity Funds - China Consumer Fund	-6	-6	0	-19	48			0,89	2,67	18,3	0,8	EUR	2012	Utländsk	759225	FIL Investment Management (Luxembourg) S.A.	Kina	
Fidelity Funds - Emerging Asia Fund	-2	-2	0	-18	30			0,89	2,7	15,4	0,6	EUR	2012	Utländsk	150110	FIL Investment Management (Luxembourg) S.A.	Asien och Fjärran östern	
Fidelity Funds - Emerging Europe, Middle East and Africa Fund	3	3	-6	-19	9	6	1,2	0,89	2,76	15,1	0,3	EUR	2012	Utländsk	114280	FIL Investment Management (Luxembourg) S.A.	Nya marknader	
Fidelity Funds - Emerging Markets Fund	-2	-2	1	-17	24	22	4,1	0,89	2,7	14	0,6	EUR	2012	Utländsk	978452	FIL Investment Management (Luxembourg) S.A.	Nya marknader	
Simplicity Likviditet	0	0	0	0	3	8	1,5	0,12	0,17	0,2	3,2	SEK	2006	Svensk	418699	Simplicity AB	Sverige lång	
Nordnet Räntefond Sverige	2	2	1	0	9	20	3,8	0,11	0,16	2,1	1,2	SEK	2009	Svensk	617209	E. Öhman J:or Fonder AB	Sverige lång	
Cicero Nordic Corporate Bond	0	0	1	1				0,37	0,92			SEK	2014	Svensk	670505	Cicero Fonder AB	Övriga utländska	
SKAGEN Credit SEK Verdipapirfond	1	1	1					0,27	0,8			SEK	2015	Utländsk	921908	SKAGEN Fonder	Övriga utländska	
Naventi Balanserad Flex	-3	-3	1	-5	20			0,55	2,25	8,8	0,7	SEK	2011	Svensk	615310	Naventi Fonder AB	Utländska aktier och räntor	
Naventi Tillväxtmarknadsfond	1	1	-1	-13	10			0,78	2,26	14,2	0,3	SEK	2011	Svensk	691220	Naventi Fonder AB	Nya marknader	
Naventi Defensiv Flex	-1	-1	-1	-5	9			0,55	1,53	4,5	0,6	SEK	2012	Svensk	447086	Naventi Fonder AB	Utländska aktier och räntor	
Inside Asia	1	1	5	-16	-5			0,65	1,59	13,6	-0,1	SEK	2011	Svensk	357830	Insiderfonder AB	Asien och Fjärran östern	
Inside Sweden	-8	-8	4	-3	48	59	9,7	0,68	1,65	14,6	1	SEK	2010	Svensk	476895	Insiderfonder AB	Sverige	
Danske Invest Eastern Europe Convergence A	5	5	2	-5	25	2	0,3	0,66	1,95	13,6	0,6	SEK	2005	Utländsk	539585	Danske Invest Management Company S.A.	Östeuropa	
Swedbank Robur Räntefond Pension	2	2	1	0	9	22	4	0,13	0,4	2,1	1,2	SEK	2000	Svensk	677534	Swedbank Robur Fonder AB	Sverige lång	
Morgan Stanley Investment Funds Emerging Markets Debt Fund	1	1	3	-7	16	45	7,6	0,42	2,7	10,3	0,5	USD	2001	Utländsk	103010	Morgan Stanley Investment Management Ltd	Övriga utländska	
Odin Emerging Markets	0	0	-1	-13	14	16	2,9	0,71	2,01	10,9	0,4	NOK	2013	Utländsk	419101	Odin Fonder	Nya marknader	
Simplicity Kina	-5	-5	-1	-10	30	32	5,7	0,78	2,02	14,4	0,7	SEK	2010	Svensk	660290	Simplicity AB	Kina	
Danske Invest Global Corporate Bonds	2	2	4	-1	16	37	6,5	0,35	1,07	3,4	1,4	SEK	2009	Utländsk	408898	Danske Invest Management Company S.A.	Övriga utländska	
Danske Invest Global Stockpicking	-5	-5	0	-13	41	56	9,3	0,64	1,87	13,2	0,9	SEK	2005	Utländsk	432096	Danske Invest Management Company S.A.	Global	
Independent Fonddoktorn Plus	-7	-7	-7	-24	-16			0,89	2,25	13,1	-0,4	SEK	2012	Utländsk	917716	Lantern Structured Asset Management	Global	
Evli Corporate Bond SEK Hedged	1	1	3	-1	13			0,33	0,85	3	1,3	SEK	2012	Utländsk	664482	Evli Fondbolag Ab	Europa och Euroland	
Skandia Realräntefond	4	4	3	-3	7	16	3,1	0,22	0,6	5,2	0,4	SEK	2001	Svensk	469817	Skandia Fonder AB	Sverige realränta	Fonden tar miljö och/eller etisk hänsyn
SPP Företagsobligationsfond	0	0	-1	-2	4			0,14	0,41	0,9	1,3	SEK	2012	Svensk	331686	SPP Fonder AB	Övriga utländska	Fonden tar miljö och/eller etisk hänsyn
Skandia Kapitalmarknadsfond	2	2	1	0	9	25	4,6	0,22	0,6	2,3	1,2	SEK	2000	Svensk	726117	Skandia Fonder AB	Sverige lång	Fonden tar miljö och/eller etisk hänsyn
Skandia Penningmarknadsfond	0	0	0	0	1	5	0,9	0,15	0,3	0,3	0,8	SEK	2000	Svensk	331983	Skandia Fonder AB	Sverige kort	Fonden tar miljö och/eller etisk hänsyn
Pictet Global Bonds	4	4	3	-1	25	35	6,3	0,38	1,27	7,9	0,9	USD	2003	Utländsk	316752	Pictet Funds (Europe) S.A.	Övriga utländska	
Aktie-Ansvar Avkastningsfond	0	0	-1	0	4	10	2	0,28	0,6	0,6	2,3	SEK	2000	Svensk	308908	Aktie-Ansvar AB	Sverige kort	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Pension 2020	-3	-3	2	-8	34	49	8,2	0,2	0,48	9,6	1,1	SEK	2000	Svensk	778944	Länsförsäkringar Fondförvaltning AB (publ)	Pension om mindre än 10 år	Fonden tar miljö och/eller etisk hänsyn
Solidar Etisk Plus 	-5	-5	2	-11	42			0,5	2,32	12,7	1	SEK	2012	Svensk	356592	Solidar Fonder AB	Global	
Solidar Aggressiv Plus	-9	-9	-1	-18	43			0,5	3,02	17,4	0,8	SEK	2012	Svensk	392423	Solidar Fonder AB	Global	
Morgan Stanley Investment Funds Asian Equity Fund	-2	-2	0	-18	13	13	2,4	0,89	2,75	14,3	0,3	USD	2001	Utländsk	389650	Morgan Stanley Investment Management Ltd	Asien och Fjärran östern	
Morgan Stanley Investment Funds Euro Corporate Bond Fund	3	3	1	-3	20	28	5,1	0,42	2,1	5,5	1,1	EUR	2009	Utländsk	838268	Morgan Stanley Investment Management Ltd	Europa och Euroland	
Morgan Stanley Investment Funds Emerging Markets Domestic Debt	7	7	6	-11	-10	-1	-0,3	0,42	2,7	11,9	-0,3	USD	2009	Utländsk	874099	Morgan Stanley Investment Management Ltd	Övriga utländska	
Morgan Stanley Investment Funds Emerging Markets Equity Fund	1	1	1	-16	5	6	1,2	0,89	2,95	13,7	0,2	USD	2001	Utländsk	317990	Morgan Stanley Investment Management Ltd	Nya marknader	
UBS (Lux) Equity Fund - Global Sustainable (USD)	-6	-6	-5	-17				0,63	2,09			USD	2014	Utländsk	488932	UBS Fund Management (Luxembourg) S.A	Global	Fonden tar miljö och/eller etisk hänsyn
JPMorgan Investement Funds - Global Balanced Fund A (acc)	1	1	1	-4	28	35	6,2	0,56	1,65	7,3	1,1	EUR	2000	Utländsk	996348	JPMorgan Asset Management (Europe) S.à.r.l.	Utländska aktier och räntor	
Solidar Flex 40 Plus	-3	-3	-1	-8	14			0,38	1,61	6,4	0,7	SEK	2012	Svensk	499913	Solidar Fonder AB	Utländska aktier och räntor	
Solidar Flex 100 Plus	-7	-7	-1	-15	33			0,5	2,32	13,7	0,7	SEK	2012	Svensk	428250	Solidar Fonder AB	Global	
SEF- LHV Persian Gulf Fund	-1	-1	-15	-18	34	58	9,5	0,89	2,56	19,1	0,6	EUR	2014	Utländsk	266049	Swedbank Management Company S.A	Nya marknader	
Stewart Investors Worldwide Leaders Fund	1	1	6	-4	53	77	12,1	0,74	1,83	12,4	1,2	GBP	2003	Utländsk	175265	First State Investments (UK) Ltd	Global	
Morgan Stanley Investment Funds European Property Fund	-4	-4	-4	-8	61	61	9,9	0,89	2,7	15	1,1	EUR	2000	Utländsk	353235	Morgan Stanley Investment Management Ltd	Övriga branscher	
Morgan Stanley Investment Funds Euro Strategic Bond Fund	3	3	1	-3	24	30	5,4	0,42	2,1	6	1,2	EUR	2000	Utländsk	966598	Morgan Stanley Investment Management Ltd	Europa och Euroland	
Morgan Stanley Investment Funds European Equity Alpha Fund	-7	-7	-6	-18	22	29	5,2	0,89	2,5	13,4	0,6	EUR	2000	Utländsk	317404	Morgan Stanley Investment Management Ltd	Europa	
Morgan Stanley Investment Funds Global Property Fund	-1	-1	1	-10	37	59	9,7	0,89	2,8	14,5	0,8	USD	2007	Utländsk	136895	Morgan Stanley Investment Management Ltd	Övriga branscher	
Morgan Stanley Investment Funds Indian Equity Fund	-3	-3	-8	-16	61	37	6,4	0,89	3	22,4	0,8	USD	2007	Utländsk	780007	Morgan Stanley Investment Management Ltd	Övriga länder	
Morgan Stanley Investment Funds Latin American Equity Fund	16	16	11	-15	-27	-33	-7,6	0,89	2,95	20,9	-0,4	USD	2001	Utländsk	174672	Morgan Stanley Investment Management Ltd	Latinamerika	
Morgan Stanley Investment Funds US Growth Fund	-10	-10	1	-9	82	98	14,7	0,89	2,7	17,1	1,2	EUR	2000	Utländsk	174086	Morgan Stanley Investment Management Ltd	Nordamerika och USA	
Handelsbanken Balans 50	-3	-3	0	-6	25	29	5,2	0,35	1,48	6,7	1,1	SEK	2015	Svensk	154302	Handelsbanken Fonder AB	Svenska och utländska aktier samt svenska räntor	
Handelsbanken Hållbar Energi	-7	-7	1	-12				0,36	1,55			SEK	2014	Svensk	687509	Handelsbanken Fonder AB	Övriga branscher	Fonden tar miljö och/eller etisk hänsyn
Allianz US Small Cap Equity AT USD	-12	-12	-9					0,83	2,1			USD	2015	Utländsk	283044	Allianz Global Investors GmbH	Nordamerika och USA småbolag	
AMF Aktiefond Mix	-4	-4	4	-7	41			0,19	0,44	11,9	1	SEK	2012	Svensk	229682	AMF Fonder AB	Global	Fonden tar miljö och/eller etisk hänsyn
AMF Aktiefond Världen	-4	-4	3	-10	44	59	9,7	0,18	0,42	12,8	1	SEK	2000	Svensk	645952	AMF Fonder AB	Svenska och utländska aktier	Fonden tar miljö och/eller etisk hänsyn
AMF Aktiefond Småbolag	-2	-2	14	12	82	95	14,2	0,21	0,61	15	1,4	SEK	2004	Svensk	269357	AMF Fonder AB	Sverige småbolag	Fonden tar miljö och/eller etisk hänsyn
AMF Balansfond	-2	-2	2	-6	31	50	8,4	0,18	0,42	8,2	1,1	SEK	2000	Svensk	610121	AMF Fonder AB	Svenska och utländska aktier samt svenska räntor	Fonden tar miljö och/eller etisk hänsyn
AMF Aktiefond Sverige	-4	-4	2	-11	39	56	9,2	0,18	0,42	13,7	0,9	SEK	2000	Svensk	681783	AMF Fonder AB	Sverige	Fonden tar miljö och/eller etisk hänsyn
Länsförsäkringar Trygghetsfond	0	0	1	-7	17	31	5,6	0,36	1,59	7,6	0,7	SEK	2000	Svensk	599795	Länsförsäkringar Fondförvaltning AB (publ)	Svenska och utländska aktier samt svenska räntor	Fonden tar miljö och/eller etisk hänsyn
Danske Invest Horisont Offensiv	-2	-2	2	-9	27			0,53	1,58	9,9	0,8	SEK	2013	Svensk	696658	Danske Capital AB	Utländska aktier och räntor	
Evli Finland Mix	-1	-1	3	-1	33	28	5,1	0,56	1,83	6,7	1,4	EUR	2001	Utländsk	657460	Evli Fondbolag Ab	Utländska aktier och räntor	
Allianz Emerging Asia Equity	-5	-5	-3	-20	33	37	6,5	0,89	2,27	15,9	0,7	USD	2014	Utländsk	250878	Allianz Global Investors GmbH	Asien och Fjärran östern	
Allianz Europe Equity Growth Select	-6	-6	0	-8				0,73	1,8			EUR	2014	Utländsk	634675	Allianz Global Investors GmbH	Europa	
Allianz German Equity	-7	-7	1	-11	48			0,75	1,85	15,4	0,9	EUR	2014	Utländsk	215046	Allianz Global Investors GmbH	Övriga länder	
Allianz Global Small Cap Equity	-8	-8	-3	-15				0,83	2,09			USD	2014	Utländsk	179218	Allianz Global Investors GmbH	Global	
Carnegie Fund - Worldwide Emerging Markets Sub-Fund	-2	-2	4	-12	-28	-41	-10	0,43	1,9	21	-0,4	SEK	2005	Utländsk	851725	Carnegie Fund Management Company S.A.	Nya marknader	
Carnegie Fund V-The Carnegie Global Healthcare Sub-fund	-28	-28	-21	-35	69	86	13,2	0,41	1,73	29,7	0,7	SEK	2015	Utländsk	538108	Carnegie Fund Management Company S.A.	Läkemedel	
UBS (Lux) Equity Fund - Greater China (USD)	-8	-8	7	-8	60	47	8	0,67	2,39	20	0,9	USD	2005	Utländsk	908806	UBS Fund Management (Luxembourg) S.A	Kina	
UBS (Lux) Equity Fund - Asian Consumption (USD)	-2	-2	4	-16	14	33	5,9	0,63	2,09	14,7	0,3	USD	2010	Utländsk	843698	UBS Fund Management (Luxembourg) S.A	Övriga branscher	
SEB Realräntefond SEK (SEB Fund 3- SEB Index Linked Bond Fund)	4	4	3	-3	6	15	2,8	0,18	0,56	5,2	0,3	SEK	2003	Utländsk	496497	SEB Asset Management S.A.	Sverige realränta	
SEB Dynamic Bond Fund	0	0	0	0				0,22	0,8			SEK	2014	Utländsk	651679	SEB Asset Management S.A.	Övriga utländska	
Life Emerging Market Bonds	1	1	2	0	6			0,62	1,5	5,9	0,3	SEK	2012	Svensk	550913	Life Funds EMEA AB	Utländska aktier och räntor	
Life High Yield Bonds	1	1	0	-2	6			0,62	1,5	4,7	0,4	SEK	2012	Svensk	515080	Life Funds EMEA AB	Utländska aktier och räntor	
Holberg Norge	3	3	-1	-12	7	-16	-3,3	0,62	1,5	14,2	0,2	NOK	2007	Utländsk	318469	Holberg Fondsforvaltning AS	Övriga länder	
PineBridge Emerging Europe Equity Fund	12	12	5	-12	-21	-33	-7,6	0,69	1,68	20,4	-0,3	USD	2000	Utländsk	376319	PineBridge Investments Ireland Limited	Östeuropa	
Holberg Global	-3	-3	1	-4	53	62	10,1	0,45	1,01	11,4	1,3	NOK	2007	Utländsk	282632	Holberg Fondsforvaltning AS	Global	
UBS (Lux) Equity Fund - Global Sustainable Innovators (EUR)	-7	-7	-2	-20	33	19	3,6	0,63	2,09	14,1	0,7	EUR	2007	Utländsk	118067	UBS Fund Management (Luxembourg) S.A	Global	Fonden tar miljö och/eller etisk hänsyn
UBS (Lux) Bond Fund-Global (CHF) (EUR hedged) P - acc	4	4	1	0	21	25	4,6	0,32	1,19	5,3	1,2	EUR	2010	Utländsk	259499	UBS Fund Management (Luxembourg) S.A	Övriga utländska	
UBS (Lux) Equity Fund - Euro Countries Opportunity (EUR)	-6	-6	-3	-8				0,57	1,86			EUR	2014	Utländsk	529016	UBS Fund Management (Luxembourg) S.A	Euroland	
UBS (Lux) Equity Fund - Central Europe (EUR)	7	7	-1	-10	13	-16	-3,4	0,67	2,39	14,4	0,3	EUR	2001	Utländsk	779538	UBS Fund Management (Luxembourg) S.A	Östeuropa	
Odin Energi	-6	-6	-8	-31	-41	-53	-14	0,71	2,01	19,4	-0,8	NOK	2013	Utländsk	526590	Odin Fonder	Övriga branscher	
Swedbank Robur Technology	-7	-7	3	-7	74	98	14,7	0,27	1,28	15,5	1,3	SEK	2000	Svensk	283408	Swedbank Robur Fonder AB	IT och kommunikation	
Alfred Berg Bull	-7	-7	-4	-24				0,42	1			SEK	2015	Svensk	222307	Alfred Berg Fonder AB	Sverige	
Alfred Berg Kort Kreditfond	0	0	-1	-1	1	3	0,7	0,29	0,7	0,6	-0,1	SEK	2014	Svensk	120303	Alfred Berg Fonder AB	Övriga utländska	
Taaleri Sicav - Taaleri Rhein Value Equity	-4	-4	3	-6	62			0,74	1,84	13,6	1,2	EUR	2012	Utländsk	849711	Swedbank Management Company S.A	Övriga länder	
Taaleri Sicav - Taaleri Turkey Equity	12	12	15	-9	-20	-17	-3,6	0,89	3,2	29	-0,1	EUR	2011	Utländsk	121608	Swedbank Management Company S.A	Övriga länder	
UBS (Lux) Equity Sicav - European Opportunity Unconstrained	-9	-9	-4	-7	51			0,63	2,11	12,8	1,1	EUR	2012	Utländsk	384511	UBS Fund Management (Luxembourg) S.A	Europa	
UBS (Lux) Strategy Fund - Balanced (EUR)	-1	-1	-1	-6	21	24	4,4	0,48	1,7	7,2	0,9	EUR	2000	Utländsk	722454	UBS Fund Management (Luxembourg) S.A	Utländska aktier och räntor	
UBS (Lux) Key Selection SICAV - Global Equities (USD)	-9	-9	-3	-13	36	40	7	0,63	2,09	12,3	0,9	EUR	2015	Utländsk	772509	UBS Fund Management (Luxembourg) S.A	Global	
UBS (Lux) Strategy Fund - Growth (EUR)	-2	-2	-1	-8	24	25	4,6	0,48	1,9	8,7	0,8	EUR	2000	Utländsk	794115	UBS Fund Management (Luxembourg) S.A	Utländska aktier och räntor	
DNB Fund - Global Emerging Markets	-2	-2	1	-19	7	-4	-0,8	0,69	1,92	15,7	0,2	SEK	2000	Utländsk	819029	DNB Asset Management S.A.	Nya marknader	Fonden tar miljö och/eller etisk hänsyn
Avanza Zero - Fonden utan avgifter	-4	-4	-2	-15	27	45	7,7	0	0	13,5	0,6	SEK	2006	Svensk	734491	Avanza Fonder AB	Sverige index	
Simplicity Global Corporate Bond	0	0	1	1	12			0,38	0,93	2,3	1,6	SEK	2012	Svensk	934711	Simplicity AB	Övriga utländska	
Handelsbanken Global Index Criteria	-5	-5	1	-12	48	67	10,8	0,23	0,7	12,3	1,1	SEK	2013	Utländsk	785907	Handelsbanken Funds	Global	Fonden tar miljö och/eller etisk hänsyn
Handelsbanken MSCI Emerging Markets Index	2	2	2	-18	6			0,26	0,85	15,4	0,2	SEK	2013	Utländsk	750075	Handelsbanken Funds	Nya marknader	
Handelsbanken Råvarufond	0	0	-14	-30	-41	-48	-12,1	0,24	0,74	12,6	-1,3	SEK	2010	Utländsk	110098	Handelsbanken Funds	Övriga branscher	
Naventi Offensiv Flex	-4	-4	2	-3	36			0,78	2,25	12	0,9	SEK	2011	Svensk	727057	Naventi Fonder AB	Global	
Movestic  Sicav - Movestic Global	-2	-2	4					0,8	2			SEK	2015	Utländsk	256305	Oppenheim Asset Management Services S.à.r.l	Global	
Swedbank Robur Företagsobligationsfond	0	0	1	0				0,17	0,71			SEK	2016	Svensk	273300	Swedbank Robur Fonder AB	Övriga utländska	
SEB Generationsfond 70-tal	-3	-3	1	-9	46	72	11,5	0,21	0,5	10,5	1,2	SEK	2000	Svensk	829358	SEB Investment Management AB	Pension om mer än 20 år	
Aberdeen Global - Asia Local Currency Short Duration Bond Fund	0	0	0	-7	18	27	4,9	0,36	1,31	8	0,7	USD	2006	Utländsk	336115	Aberdeen International Fund Managers Ltd	Övriga utländska	
Cliens Räntefond Kort	0	0	0	1	4	12	2,2	0,21	0,4	0,5	2,5	SEK	2015	Svensk	955906	Cliens Kapitalförvaltning AB	Övriga utländska	Fonden tar miljö och/eller etisk hänsyn
Ålandsbanken Kina Aktie Placeringsfond	-8	-8	-6	-21				0,7	1,85			SEK	2015	Utländsk	799247	Ålandsbanken Fondbolag Ab	Kina	
Ålandsbanken Kort Ränta SEK Placeringsfond	0	0	-1					0,17	0,3			SEK	2015	Utländsk	553271	Ålandsbanken Fondbolag Ab	Sverige kort	
Ålandsbanken Norden Aktie Placeringsfond	-2	-2	2	-6				0,55	1,4			SEK	2015	Utländsk	521104	Ålandsbanken Fondbolag Ab	Norden	
Ålandsbanken Obligation Sverige Placeringsfond	1	1						0,2	0,4			SEK	2015	Utländsk	203471	Ålandsbanken Fondbolag Ab	Sverige lång	
Ålandsbanken Premium 30 Placeringsfond	-1	-1	1	-3	25	16	3	0,56	1,42	5,7	1,3	SEK	2015	Utländsk	239301	Ålandsbanken Fondbolag Ab	Utländska aktier och räntor	
Ålandsbanken Sverige Aktie Placeringsfond	-2	-2	1	-11				0,55	1,4			SEK	2015	Utländsk	835074	Ålandsbanken Fondbolag Ab	Sverige	
East Capital (Lux) - China Environmental	-16	-16	-2	-20	31	23	4,3	0,77	2,25	24,1	0,5	SEK	2013	Utländsk	673699	East Capital Asset Management S.A.	Kina	
Cicero China Index A	-11	-11	-9	-31				0,37	0,82			SEK	2013	Svensk	579425	Cicero Fonder AB	Kina	
Fidelity Funds - Global Opportunities Fund	-6	-6	-2	-14	33	53	8,8	0,89	2,67	11,7	0,8	EUR	2012	Utländsk	870964	FIL Investment Management (Luxembourg) S.A.	Global	
Fidelity Funds - Latin America Fund	12	12	9	-14	-25	-29	-6,6	0,89	2,71	18,5	-0,5	EUR	2012	Utländsk	763474	FIL Investment Management (Luxembourg) S.A.	Latinamerika	
SEB Generationsfond 50-tal	-1	-1	1	-5	28	47	8	0,21	0,5	6	1,4	SEK	2000	Svensk	972679	SEB Investment Management AB	Pension om mindre än 10 år	
Credit Suisse (Lux) Small and Mid Cap Europe Equity Fund	-7	-7	-6	-8	66	66	10,7	0,84	2,13	13,1	1,3	EUR	2004	Utländsk	920371	Credit Suisse Fund Management S.A.	Europa/Euroland småbolag	
Credit Suisse (Lux) USA Value Equity Fund	1	1	5	-16	18	48	8,2	0,84	2,12	15,5	0,4	USD	2004	Utländsk	107201	Credit Suisse Fund Management S.A.	Nordamerika och USA	
Danske Invest Europa	-7	-7	-3	-12	30	51	8,6	0,55	1,56	12,3	0,8	SEK	2000	Svensk	144923	Danske Capital AB	Europa	
Danske Invest SRI Global	-5	-5	1	-10	50	70	11,1	0,27	0,56	12,2	1,1	SEK	2002	Svensk	613729	Danske Capital AB	Global	Fonden tar miljö och/eller etisk hänsyn
Danske Invest Sverige	-1	-1	4	-12	25	36	6,4	0,48	1,33	13,9	0,6	SEK	2000	Svensk	973263	Danske Capital AB	Sverige	
Danske Invest Sverige Fokus	-3	-3	6	-1	37	50	8,5	0,54	1,53	16,7	0,7	SEK	2005	Svensk	832899	Danske Capital AB	Sverige	
Danske Invest Sverige/Europa	-3	-3	-1	-12	27	45	7,8	0,54	1,54	12,2	0,7	SEK	2000	Svensk	937433	Danske Capital AB	Europa	
Didner & Gerge Aktiefond	-1	-1	3	-7	49	78	12,2	0,31	1,23	13,9	1	SEK	2000	Svensk	291906	Didner & Gerge Fonder AB	Sverige	
First State Global Listed Infrastructure Fund	6	6	9	-4	60	89	13,6	0,65	1,59	12,2	1,3	GBP	2009	Utländsk	724690	First State Investments (UK) Ltd	Övriga branscher	
First State Global Resources Fund	11	11	10	-23	-23	-49	-12,7	0,66	1,62	22,6	-0,3	GBP	2003	Utländsk	899120	First State Investments (UK) Ltd	Övriga branscher	
Fondita Equity Spice Placeringsfond	-2	-2	4	-1	48	34	6	0,8	2	12,8	1,1	EUR	2001	Utländsk	273664	Fondbolaget Fondita Ab	Övriga länder	
Fondita Nordic Micro Cap Placeringsfond	-2	-2	6	8	67	85	13,1	0,8	2	12,8	1,4	EUR	2006	Utländsk	785493	Fondbolaget Fondita Ab	Norden	
Fondita Nordic Small Cap Placeringsfond	-1	-1	10	2	42	44	7,5	0,8	2	14,3	0,9	EUR	2001	Utländsk	237834	Fondbolaget Fondita Ab	Norden	
SEB Generationsfond 80-tal - Lux ack	-3	-3	1	-11	43	59	9,7	0,25	0,75	11,6	1,1	SEK	2007	Utländsk	537696	SEB Asset Management S.A.	Pension om mer än 20 år	
Didner & Gerge Småbolag	0	0	15	17	94	126	17,7	0,33	1,4	11,9	1,9	SEK	2009	Svensk	140491	Didner & Gerge Fonder AB	Norden	
DNB Health Care	-9	-9	-2	-10	93	145	19,7	0,57	1,5	13	1,7	NOK	2013	Utländsk	517508	DNB Asset Management AS	Läkemedel	
DNB Fund - India	-8	-8	-9	-18	56	31	5,5	0,73	2,05	24,2	0,7	SEK	2013	Utländsk	481671	DNB Asset Management S.A.	Övriga länder	
Axa Rosenberg Eurobloc Equity Alpha Fund	-6	-6	-3	-15	49	30	5,4	0,62	1,5	15,6	0,9	EUR	2000	Utländsk	151001	AXA Rosenberg Management Ireland Ltd	Euroland	
Axa Rosenberg Global Equity Alpha Fund	-3	-3	1	-10	50	72	11,4	0,62	1,48	12,6	1,1	USD	2000	Utländsk	294322	AXA Rosenberg Management Ireland Ltd	Global	
Axa Rosenberg Japan Equity Alpha Fund	-9	-9	-1	-9	38	55	9,2	0,62	1,5	15,1	0,8	JPY	2000	Utländsk	365981	AXA Rosenberg Management Ireland Ltd	Japan	
Axa Rosenberg Japan Small Cap Alpha Fund	-8	-8	0	-8	36	67	10,8	0,68	1,67	14,6	0,8	JPY	2000	Utländsk	652628	AXA Rosenberg Management Ireland Ltd	Japan	
Enter Maximal	-7	-7	-13	-21	2	-4	-0,9	0,62	2,1	11,7	0,1	SEK	2009	Svensk	592295	Enter Fonder AB	Svenska aktier och räntor	Fonden tar miljö och/eller etisk hänsyn
